title_pt;title_en;year;rating;genre;sinopse
O Profissional;39. O Profissional;1994;8.5 (1.2M);Ação;Mathilda, uma menina de 12 anos é levada por Léon, um assassino profissional, depois que sua família é assassinada. Léon e Mathilda formam uma relação incomum, desde que ela se torna sua protegida.
A Outra História Americana;40. A Outra História Americana;1998;8.5 (1.2M);Policial;Um neonazista tenta evitar que seu irmão mais novo tome o mesmo caminho errado que ele.
Os Infiltrados;41. Os Infiltrados;2006;8.5 (1.4M);Policial;Um policial disfarçado e um espião estão tentando se identificar enquanto se infiltram em uma gangue irlandesa no sul de Boston.
Whiplash: Em Busca da Perfeição;42. Whiplash: Em Busca da Perfeição;2014;8.5 (928K);Drama;Um jovem e promissor baterista se matricula em um conservatório de música onde seus sonhos são guiados por um instrutor que não pára por nada para perceber o potencial de um aluno.
O Grande Truque;43. O Grande Truque;2006;8.5 (1.4M);Drama;Depois de um trágico acidente, dois magos do palco se engajam em uma batalha para criar a ilusão final enquanto sacrificam tudo o que têm para enganar um ao outro.
Os Suspeitos;44. Os Suspeitos;1995;8.5 (1.1M);Policial;O único sobrevivente conta os torcidos eventos duma luta com pistolas num bote, quanfo cinco criminais eram levados pela polícia.
Túmulo dos Vagalumes;45. Túmulo dos Vagalumes;1988;8.5 (294K);Animação;Um menino e sua irmã tentam sobreviver no Japão durante a Segunda Guerra Mundial.
Casablanca;46. Casablanca;1942;8.5 (591K);Drama;O proprietário cético de uma boate protege um antigo amor e seu marido dos nazistas no Marrocos.
Harakiri;47. Harakiri;1962;8.6 (63K);Ação;Um velho samurai ronin chega à casa de um senhor feudal e pede um lugar honroso para cometer suicídio. Mas quando o ronin pede um samurai mais jovem que chegou antes, os eventos seguem um curso inesperado.
Intocáveis;48. Intocáveis;2011;8.5 (895K);Biografia;Depois de ficar tetraplégico num acidente, um aristocrata contrata um jovem de um bairro pobre para cuidar dele.
Tempos Modernos;49. Tempos Modernos;1936;8.5 (252K);Comédia;Um vagabundo luta para viver na sociedade industrial moderna com a ajuda de uma jovem.
Cinema Paradiso;50. Cinema Paradiso;1988;8.5 (273K);Drama;Um diretor de cinema lembra como, em sua infância, ele se apaixonou pelo cinema de sua cidade e iniciou uma profunda amizade com o projecionista.
Era uma Vez no Oeste;51. Era uma Vez no Oeste;1968;8.5 (341K);Faroeste;Um misterioso estranhoe se junta com um bandido para proteger a uma viúva.
Janela Indiscreta;52. Janela Indiscreta;1954;8.5 (508K);Mistério;Um fotógrafo em uma cadeira de rodas espiona seus vizinhos pela janela de seu apartamento e está convencido de que um deles cometeu um assassinato.
Alien - O 8º Passageiro;53. Alien - O 8º Passageiro;1979;8.5 (916K);Terror;Depois que um navio mercante do espaço percebe uma transmissão desconhecida como uma chamada de socorro, encontra um dos tripulantes atacado por um misterioso modo de vida, e logo percebem que seu ciclo de vida simplesmente começou.
Luzes da Cidade;54. Luzes da Cidade;1931;8.5 (191K);Comédia;Com a ajuda de um homem rico, bêbado e imprevisível, um vagabundo ingênuo que se apaixonou por uma florista cega tenta conseguir dinheiro para fornecer ajuda médica.
Apocalypse Now;55. Apocalypse Now;1979;8.4 (690K);Drama;Um oficial do exército dos Estados Unidos no Vietnã é encarregado de assassinar a um coronel que acredita ser um deus.
Amnésia;56. Amnésia;2000;8.4 (1.3M);Mistério;Um homem com perda da memória de curto prazo tenta investigar o homicídio da sua esposa.
Django Livre;57. Django Livre;2012;8.5 (1.6M);Drama;Com a ajuda de um caçador de recompensas alemão, um escravo libertado sai para resgatar sua esposa de um brutal dono de uma plantação no Mississipi.
Os Caçadores da Arca Perdida;58. Os Caçadores da Arca Perdida;1981;8.4 (1M);Ação;Em 1936 o archeologista e aventurero Indiana Jones é contratado pelo governo dos Estados Unidos para procurar pelo Pacto da Arca, antes que os nazis o tenham primeiro.
WALL·E;59. WALL·E;2008;8.4 (1.2M);Animação;Num futuro distante, um pequeno robô faz uma viagem que decidirá o destino da humanidade.
A Vida dos Outros;60. A Vida dos Outros;2006;8.4 (400K);Drama;Em 1984, em Berlim Oriental, um agente da polícia secreta que cuida de um escritor e sua mulher se vê cada vez mais absorvido em suas vidas.
Crepúsculo dos Deuses;61. Crepúsculo dos Deuses;1950;8.4 (230K);Drama;Um roteirista estabelece uma relação com uma fracasada estrela de cinema que quer voltar aos filmes.
Glória Feita de Sangue;62. Glória Feita de Sangue;1957;8.4 (205K);Drama;Depois de se recusar a atacar uma posição inimiga, um general acusa os soldados da covardia e seu comandante deve defendê-los.
Vingadores: Guerra Infinita;63. Vingadores: Guerra Infinita;2018;8.4 (1.2M);Ação;Os Vingadores e seus aliados deverão sacrificar tudo em uma tentativa de derrotar o poderoso Thanos antes que sua explosão de devastação ponha fim ao universo.
O Iluminado;64. O Iluminado;1980;8.4 (1.1M);Drama;Uma família se dirige a um hotel isolado para o inverno, onde uma presença sinistra influencia a violência do pai, enquanto seu filho psíquico vê presságios horríveis do passado e do futuro.
O Grande Ditador;65. O Grande Ditador;1940;8.4 (231K);Comédia;O ditador Hynkel tenta expandir seu império enquanto um pobre barbeiro judeu tenta evitar a perseguição do regime de Hynkel.
Testemunha de Acusação;66. Testemunha de Acusação;1957;8.4 (132K);Policial;Um veterano advogado britânico deve defender seu cliente em um julgamento de assassinato que tem surpresa após surpresa.
Homem-Aranha: No Aranhaverso;67. Homem-Aranha: No Aranhaverso;2018;8.4 (625K);Animação;Um jovem se torna o Homem Aranha de sua realidade, cruzando seu caminho com cinco colegas de outras dimensões para impedir uma ameaça a todas as realidades.
Aliens, O Resgate;68. Aliens, O Resgate;1986;8.4 (741K);Ação;Ellen Ripley é salvada depois de estar dormida por 57 anos. A luna que o Nostromo visitou foi colonizada mas o contado se perdeu.
Beleza Americana;69. Beleza Americana;1999;8.3 (1.2M);Drama;Um pai sexualmente frustrado tem uma crise existencial depois de conhecer a melhor amiga da sua filha.
Batman: O Cavaleiro das Trevas Ressurge;70. Batman: O Cavaleiro das Trevas Ressurge;2012;8.4 (1.8M);Ação;Oito anos depois da anarquia do Coringa, Batman com ajuda da Mulher Gato, tentam salvar Gotham do terrorista Bane.
Bastardos Inglórios;71. Bastardos Inglórios;2009;8.3 (1.5M);Aventura;Na França ocupada pelos nazistas durante a Segunda Guerra Mundial, um plano para assassinar líderes nazistas por parte de um grupo de soldados judeus dos EUA coincide com os planos de vingança da dona de uma sala de cinema.
Dr. Fantástico;72. Dr. Fantástico;1964;8.4 (506K);Comédia;Um general alienado provoca um potencial holocausto nuclear que uma sala de guerra cheia de políticos e generais tenta freneticamente parar.
Oldboy;73. Oldboy;2003;8.4 (608K);Ação;Depois de ter sido raptado e preso por quinze anos, Oh Dae-Su é libertado, e descobre que tem 5 dias para encontrar seu sequestrador.
Viva: A Vida é uma Festa;74. Viva: A Vida é uma Festa;2017;8.4 (551K);Animação;Miguel entra na terra dos mortos para encontrar a seu bisavó quem era um lendário cantante.
Amadeus;75. Amadeus;1984;8.4 (415K);Biografia;A vida, sucessos e tribulações de Wolfgang Amadeus Mozart de acordo com Antonio Salieri, um compositor que era contemporâneo, que sempre teve ciúmes dele e que alegou tê-lo matado.
Toy Story;76. Toy Story;1995;8.3 (1M);Animação;Um brinquedo do cauboi se sente profundamente ameaçado e celoso quando um brinquedo patrulheiro espacial passa a ter mais atençao do garoto.
Coração Valente;77. Coração Valente;1995;8.3 (1.1M);Biografia;Quando sua noiva en segredo é assassinada, William Wallace comença uma revolta contra o rey Eduardo I da Inglaterra.
O Barco: Inferno no Mar;78. O Barco: Inferno no Mar;1981;8.4 (258K);Drama;O mundo claustrofóbico de um submarino da Segunda Guerra Mundial, cheio de tédio, sujeira e terror.
Coringa;79. Coringa;2019;8.4 (1.4M);Policial;Um comediante falido enlouquece e se torna um assassino psicopata.
Vingadores: Ultimato;80. Vingadores: Ultimato;2019;8.4 (1.2M);Ação;Após os eventos devastadores de Vingadores: Guerra Infinita , o universo está em ruínas, e com a ajuda de aliados os Vingadores se reúnem para desfazer as ações de Thanos e restaurar a ordem.
Princesa Mononoke;81. Princesa Mononoke;1997;8.3 (414K);Animação;Numa viagem para descobrir a cura contra a maldição de Tatarigami, Ashitaka, se encontra uma guerra entre os deuses da foresta e Tatara, uma colônia mineira.
Gênio Indomável;82. Gênio Indomável;1997;8.3 (1M);Drama;Will Hunting, um zelador duma Universidade, tem habilidades para a matemática, mas precisa da ajuda dum psicólogo para encontrar seu propósito.
Era uma Vez na América;83. Era uma Vez na América;1984;8.3 (366K);Policial;Um ex criminal judeu da época da proibição volta a Manhattan onde deberá confrontar seu pasado.
Your Name.;84. Your Name.;2016;8.4 (297K);Animação;Dois estranhos estão ligados de uma maneira bizarra, mais quando uma conexão é formada, a distância será a única coisa que os manterá separados?
3 Idiotas;85. 3 Idiotas;2009;8.4 (417K);Comédia;Dois amigos procuram seu companheiro perdido. Eles se lembram de seus dias de faculdade e como seu amigo os inspirou a pensar de maneira diferente, mesmo quando o resto do mundo os chamava idiotas.
Céu E Inferno;86. Céu E Inferno;1963;8.4 (49K);Policial;Um executivo de uma empresa de calçados torna-se vítima de extorsão quando o filho de seu motorista é sequestrado e retido para resgate.
Cantando na Chuva;87. Cantando na Chuva;1952;8.3 (252K);Comédia;Uma produtora de cinema e elenco fazem uma transição difíci.
Réquiem para um Sonho;88. Réquiem para um Sonho;2000;8.3 (872K);Drama;As utopias causadas pelo uso de drogas em quatro pessoas de Coney Island se rompem quando seus vícios as dominam.
Cafarnaum;89. Cafarnaum;2018;8.4 (98K);Drama;Ao cumprir uma sentença de cinco anos por um crime violento, uma criança de 12 anos processou seus pais por negligência.
Toy Story 3;90. Toy Story 3;2010;8.3 (867K);Animação;Os brinquedos são dados por erro a uma creche, Woody junto com os outros brinquedos tentaram voltar a casa do Andy.
Vá e Veja;91. Vá e Veja;1985;8.4 (89K);Drama;Depois de encontrar uma arma, um jovem se une as forças da resistença russa contra os alemães na segunda guerra mundial.
Star Wars, Episódio VI: O Retorno do Jedi;92. Star Wars, Episódio VI: O Retorno do Jedi;1983;8.3 (1.1M);Ação;Depois de uma missão ousada para resgatar Han Solo da cabana de Jabba, os rebeldes partem para fazer Endor destruir a mais poderosa Estrela da Morte. Enquanto isso, Luke tenta trazer Darth Vader de volta do lado negro, sem cair na armadilha do Imperador.
Brilho Eterno de uma Mente sem Lembranças;93. Brilho Eterno de uma Mente sem Lembranças;2004;8.3 (1M);Drama;Quando sua relaçao se volta complicada, um casal tenta um procedimento médico para que suas memorias sejam apagadas.
2001: Uma Odisséia no Espaço;94. 2001: Uma Odisséia no Espaço;1968;8.3 (696K);Aventura;Trás descobrir um misterioso artefato na superfície da Lua, a humanidade tenta encontrar seus origens com a ajuda da inteligença do ordernador HAL 9000.
A Caça;95. A Caça;2012;8.3 (348K);Drama;Um professor vive uma vida solitária enquanto luta pela custódia de seu filho. Sua vida melhora lentamente quando ele encontra o amor e recebe boas notícias de seu filho, mas sua sorte está prestes a mudar por uma pequena mentira inocente.
Cães de Aluguel;96. Cães de Aluguel;1992;8.3 (1.1M);Policial;Quando um simples roubo de jóias dá errado, os criminosos sobreviventes começam a suspeitar que um deles é um informante da polícia.
Viver;97. Viver;1952;8.3 (84K);Drama;Depois de descobrir que tem câncer terminal, um burocrata tenta encontrar um sentido para sua vida.
Lawrence da Arábia;98. Lawrence da Arábia;1962;8.3 (305K);Aventura;A história de T. E. Lawrence, o oficial inglês que conseguiu unir e liderar várias tribos árabes, durante a Primeira Guerra Mundial para lutar contra os turcos.
Cidadão Kane;99. Cidadão Kane;1941;8.3 (455K);Drama;Após a morte de um magnata na indústria editorial, jornalistas correm para descobrir o significado da última palavra que ele pronunciou.
M, o Vampiro de Dusseldorf;100. M, o Vampiro de Dusseldorf;1931;8.3 (164K);Policial;Quando a polícia de uma cidade alemã não consegue encontrar um assassino de crianças, outros criminosos decidem ajudar na caçada humana.
Intriga Internacional;101. Intriga Internacional;1959;8.3 (338K);Ação;Um executivo de publicidade de Nova Iorque tem que fugir quando é confundido por um agente de governo.
Se Meu Apartamento Falasse;102. Se Meu Apartamento Falasse;1960;8.3 (189K);Comédia;Um homem tenta subir na empresa permitindo que seus executivos usem seu apartamento para encontros, mas surgem complicações e um romance próprio.
Um Corpo que Cai;103. Um Corpo que Cai;1958;8.3 (416K);Mistério;Um ex-policial luta contra seus demônios enquanto está obcecado por uma mulher bonita.
Pacto de Sangue;104. Pacto de Sangue;1944;8.3 (163K);Policial;Um agente de seguros se deixa convencer de um esquema de assassinato e fraude, o que desperta a suspeita de um investigador.
O Fabuloso Destino de Amélie Poulain;105. O Fabuloso Destino de Amélie Poulain;2001;8.3 (777K);Comédia;Amélie é uma parisiense ingênua com seu próprio senso de justiça. Ela decide ajudar as pessoas ao seu redor e, no caminho, descobre o amor.
Scarface;106. Scarface;1983;8.3 (881K);Policial;Em Miamo em 1980, um imigrante cubano toma o control dum cartel de drogas.
Nascido para Matar;107. Nascido para Matar;1987;8.3 (768K);Drama;Um marinho dos Estados Unidos nota os deshumanizantes efeitos da guerra do Vietnã em seus colegas.
Laranja Mecânica;108. Laranja Mecânica;1971;8.3 (858K);Policial;No futuro, um jovem líder de gang é levado para prisão e decide ser voluntário em um experimento, mas os resultados não são os esperados.
Incêndios;109. Incêndios;2010;8.3 (188K);Drama;Os gêmeos viajam para o Oriente Médio para descobrir sua história familiar e cumprir os últimos desejos de sua mãe.
Hamilton;110. Hamilton;2020;8.3 (105K);Biografia;A vida de um dos maiores fundadores e primeiro secretário do Tesouro da América, Alexander Hamilton.
Fogo Contra Fogo;111. Fogo Contra Fogo;1995;8.3 (690K);Ação;Um grupo de profissionais roubando bancos sospeitam que a polícia está tráis deles quando deixam uma pista no seu último roubo.
Up: Altas Aventuras;112. Up: Altas Aventuras;2009;8.3 (1.1M);Animação;Carl Fredricksen, de 78 anos, viaja a Paraside Falls com sua casa e inadvertidamente leva um menino com ele.
O Sol é para Todos;113. O Sol é para Todos;1962;8.3 (326K);Policial;Atticus Finch, um advogado no sul da era da Depressão, defende um homem negro contra uma acusação de estupro imerecida, e seus filhos contra o preconceito.
Golpe de Mestre;114. Golpe de Mestre;1973;8.3 (272K);Comédia;Dois golpistas se reúnem para obter o melhor golpe.
A Separação;115. A Separação;2011;8.3 (252K);Drama;Um casal é confrontado com uma decisão difícil, melhorar a vida de seu filho mudando-se para outro país ou ficar no Irã e cuidar de um pai que se deteriora e com Alzheimer.
Indiana Jones e a Última Cruzada;116. Indiana Jones e a Última Cruzada;1989;8.2 (789K);Ação;"Em 1938, depois que seu pai, o professor Henry Jones, desaparece enquanto persegue o Santo Graal, o professor Henry ""Indiana"" Jones, Jr. se encontra contra os nazistas de Adolf Hitler."
Metrópolis;117. Metrópolis;1927;8.3 (180K);Drama;Numa cidade futurística dividida entre os trabalhadores e os planejadores, o filho do maior planejador se apaixona por uma trabalhadora.
Duro de Matar;118. Duro de Matar;1988;8.2 (911K);Ação;John McClane, agente do departamento de polícia de Nova York, tenta salvar sua esposa, Holly Gennaro, e outras pessoas que o terrorista alemão Hans Gruber tomou como reféns durante a festa de Natal no Nakatomi Plaza, em Los Angeles.
Los Angeles: Cidade Proibida;119. Los Angeles: Cidade Proibida;1997;8.2 (600K);Policial;A corrupção cresce em Los Angeles nos anos 50. Três policiais estão investigando uma série de assassinatos com sua própria marca de justiça.
Ladrões de Bicicletas;120. Ladrões de Bicicletas;1948;8.3 (170K);Drama;Na Itália da pós-guerra a bicicleta de um homem da classe trabalhadora é roubada. Ele e o filho partiram para encontrá-la.
Snatch: Porcos e Diamantes;121. Snatch: Porcos e Diamantes;2000;8.2 (884K);Comédia;Segue a luta de criminais tráis um diamante como nenhum outro nu mundo.
Como Estrelas na Terra;122. Como Estrelas na Terra;2007;8.3 (201K);Drama;Um garoto de oito anos é acusado de ser problemático e preguiçoso, até que o novo professor de arte tem a paciência e compaixão para descobrir o verdadeiro problema por trás de suas lutas na escola.
Taxi Driver: Motorista de Táxi;123. Taxi Driver: Motorista de Táxi;1976;8.2 (882K);Policial;Um veterano de guerra com problemas mentais trabalha de noite como condutor de táxi na cidade de Nova Iorque, onde experimenta violência e perigo ao tentar ajudar um trabalhador e uma prostituta.
1917;124. 1917;2019;8.2 (639K);Ação;Trama desconhecida. O filme será de 1917 durante a primeira guerra mundial.
A Queda! As Últimas Horas de Hitler;125. A Queda! As Últimas Horas de Hitler;2004;8.2 (366K);Biografia;O último secretário de Hitler relata seus últimos dias em seu bunker de Berlim no final da Segunda Guerra Mundial.
Dangal;126. Dangal;2016;8.3 (201K);Ação;O lutador Mahavir e suas filhas lutadoras procuram a gloria contra a opressão social nos jogos do Commonwealth.
Top Gun: Maverick;127. Top Gun: Maverick;2022;8.3 (626K);Ação;Após mais de trinta anos de serviço como um dos melhores aviadores da Marinha, Pete Mitchell está onde pertence, ultrapassando os limites como um piloto de teste intrépido e evitando a promoção de posto que o manteria em terra.
Por uns Dólares a Mais;128. Por uns Dólares a Mais;1965;8.2 (266K);Drama;Dois caçadores de recompensas com as mesmas intenções se reúnem para encontrar um criminoso ocidental.
Batman Begins;129. Batman Begins;2005;8.2 (1.5M);Ação;Depois do treinamento, Batman comença a luta contra o crime e corrupçao en Gotham.
Quanto Mais Quente Melhor;130. Quanto Mais Quente Melhor;1959;8.2 (276K);Comédia;Dos músicos son testigos de un crimen y se dan a la fuga disfrazados de mujeres en una banda femenina, pero las cosas se complican.
O Garoto;131. O Garoto;1921;8.2 (131K);Comédia;Um mendigo cuida de uma criança abandonada, mas os eventos ameaçam esse relacionamento.
O Lobo de Wall Street;132. O Lobo de Wall Street;2013;8.2 (1.5M);Biografia;Baseada na verdadeira história de Jordan Belfort, desde sua ascensão como corretor de valores até a sua queda e envolvimento no crime e corrupção com o governo.
Meu Pai;133. Meu Pai;2020;8.2 (176K);Drama;Um homem recusa toda a ajuda de sua filha à medida que envelhece. Ao tentar entender as mudanças nas circunstâncias, ele começa a duvidar dos seus entes queridos, da sua própria mente e até mesmo da estrutura de sua realidade.
Green Book: O Guia;134. Green Book: O Guia;2018;8.2 (532K);Biografia;Um valentão ítalo-americano se torna o motorista de um pianista afro-americano em um tour no sul dos Estados Unidos nos anos sessenta.
A Malvada;135. A Malvada;1950;8.2 (135K);Drama;Uma ingênua se insinua na vida de uma atriz de teatro, e de seu círculo de amigas de teatro.
Julgamento em Nuremberg;136. Julgamento em Nuremberg;1961;8.3 (81K);Drama;Em 1948, um tribunal dos Estados Unidos na Alemanha ocupada julga quatro nazistas por crimes de guerra.
O Show de Truman: O Show da Vida;137. O Show de Truman: O Show da Vida;1998;8.2 (1.1M);Comédia;Um vendedor de seguros descobre que sua vida é um programa de televisão.
Sangue Negro;138. Sangue Negro;2007;8.2 (616K);Drama;Uma história sobre familia, religião, ódio e loucura, centrada na vida de um explorador de petróleo nos primeiros anos do negócio.
Ran;139. Ran;1985;8.2 (131K);Ação;No Japão medieval, um senhor feudal decide abdicar e entregar seus domínios aos seus três filhos. Mas ele não é capaz de ver que esses novos poderes irão corrompê-los e levá-los a enfrentar um ao outro, e contra ele.
Cassino;140. Cassino;1995;8.2 (544K);Policial;Uma história de ganância, dinheiro e assassinato acontece entre dois melhores amigos: um mafioso e um executivo de cassino, que competem uns com os outros por um império de jogo e pelo amor de uma socialite.
Ilha do Medo;141. Ilha do Medo;2010;8.2 (1.4M);Mistério;Em 1945, um policial federal dos Estados Unidos investiga o desaparecimento de um assassino que escapou de um hospital psiquiátrico.
O Labirinto do Fauno;142. O Labirinto do Fauno;2006;8.2 (687K);Drama;Na Espanha de 1944, a filha dum oficial do exército escapa a um mundo de fantasia.
